"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-986422d26d5b4fb2b2ba762f186091d5","AccessRelationship","","","id-718837","id-736096",""
"id-9bd49ce25c34427aa2ec8aa868aa2c94","AccessRelationship","","","id-718173","id-729665",""
"id-00c114f680b94a73bd16d6e4e3ecb6a5","AccessRelationship","","","id-736551","id-470684",""
"id-1c9b7a6f113442cea7b717989b3638ea","AccessRelationship","","","id-718759","id-722918",""
"id-626f410a92bb46d4a9988987db45c23c","AccessRelationship","","","id-718804","id-736061",""
"id-b3a14c269c654e21b693cd929c2dabc8","AccessRelationship","","","id-718168","id-729558",""
"id-ad74faf203d04bd1b593960eb84a1e54","AccessRelationship","","","id-736292","id-736174",""
"id-0cbc6fc44cb14ddb82891c62efaecee8","AccessRelationship","","","id-736411","id-736013",""
"id-cd9a20e8a71a4a4fac41437ce28c3a3a","AccessRelationship","","","id-736509","id-470726",""
"id-605af7d648c24970968fafe288803f4f","AccessRelationship","","","id-718785","id-478409",""
"id-566040e04a194c8bbd11d0b0f0b1533c","AccessRelationship","","","id-736407","id-736017",""
"id-6f0bb3141c374f1d963767d443955bbb","AccessRelationship","","","id-736290","id-736126",""
"id-d34d0e90474346b18ea6cf1619400647","AccessRelationship","","","id-718706","id-723073",""
"id-f492db64352643be95fb0ca18c05a73b","AccessRelationship","","","id-736318","id-736164",""
"id-9057072ede3a4c8f8460f56c7875e4e8","AccessRelationship","","","id-718167","id-729578",""
"id-7cdbe2ba931844c396c59668a4d8450d","AccessRelationship","","","id-718714","id-469494",""
"id-8beecc3e2d884a288d72b7047dc22ce9","AccessRelationship","","","id-718739","id-472581",""
"id-69f22180cfea490fa99725696184ac1c","AccessRelationship","","","id-718721","id-469726",""
"id-733158273e254b5489e324efb6e072ae","AccessRelationship","","","id-718721","id-468873",""
"id-5ba2196468184fdaa737ee1247eb62e0","AccessRelationship","","","id-736403","id-736023",""
"id-c0b4f736f0df442c9f96d7b25a991bc4","AccessRelationship","","","id-718757","id-722915",""
"id-55475603d3324a948a2e063d8a3987c4","AccessRelationship","","","id-718712","id-729620",""
"id-36e2514db36c4a479dcb8e53c8dbea3a","AccessRelationship","","","id-718764","id-470406",""
"id-ef8d258db5244dbf86a66611af635855","AccessRelationship","","","id-718760","id-470129",""
"id-93339c735bb9426c807b2b8da53d7685","AccessRelationship","","","id-718822","id-736142",""
"id-60b8964d10494d31afe74d33a58ef094","AccessRelationship","","","id-718338","id-729667",""
"id-6fa3e68f41ae41a98bbef3aba4dfbba1","AccessRelationship","","","id-736515","id-468977",""
"id-ab5be25d9bde49d4a3de4ef2c0d1e65f","AccessRelationship","","","id-718703","id-469676",""
"id-1188e9e2e0754d5c83f487da51c28db1","AccessRelationship","","","id-711280","id-729611",""
"id-3c6f47c937b54d4780ae9548136c09b8","AccessRelationship","","","id-736540","id-469029",""
"id-b2795c1524df4285981cc1fc1c55eec9","AccessRelationship","","","id-718811","id-736124",""
"id-ca18865e42894c1fa651a979c541295e","AccessRelationship","","","id-718832","id-736011",""
"id-1e95d1699fd243ddad12cc4c3477d9be","AccessRelationship","","","id-736356","id-736114",""
"id-23220ef7e09748bd8da1e3a5019fba22","AccessRelationship","","","id-718714","id-468886",""
"id-732cf8a4a69d4680a80cc85bc9d171a4","AccessRelationship","","","id-736325","id-469282",""
"id-da0a8c967c2544579067c5ee5351c876","AccessRelationship","","","id-736304","id-736053",""
"id-51c376359d8c4130957a1befc7ec9bd0","AccessRelationship","","","id-718334","id-729646",""
"id-7e653ecfec0442028a553c2812805056","AccessRelationship","","","id-736482","id-736176",""
"id-4d4e9564f213441d9b27d0aad6f62aed","AccessRelationship","","","id-736302","id-736136",""
"id-ff869d658ff84b39a1b50631d1e7a771","AccessRelationship","","","id-718771","id-469274",""
"id-9790ebd9950349a1ae3da3ebf5b95c28","AccessRelationship","","","id-718827","id-736120",""
"id-2ca14e0e99a54a5a8e97b37585d1c5ac","AccessRelationship","","","id-711318","id-729563",""
"id-8b5faaa74f294cd8a477fad05cf21eb4","AccessRelationship","","","id-718171","id-729632",""
"id-b22792547428406b823bdf9b48e01751","AccessRelationship","","","id-718778","id-723100",""
"id-32f7bf8b89514789b24ae082b28c6c6d","AccessRelationship","","","id-718733","id-472136",""
"id-9c5024b11c404f1685b695232e100258","AccessRelationship","","","id-718734","id-723005",""
"id-d6c34fc9de6b4607bc7a2f6422e4c314","AccessRelationship","","","id-736519","id-736166",""
"id-b132ce345ae24da1bf29a993c1278c84","AccessRelationship","","","id-718695","id-479255",""
"id-731ba534521c4fe7bd41044c5ee0dd03","AccessRelationship","","","id-718726","id-723037",""
"id-b755120737524dc485f83fe035365577","AccessRelationship","","","id-736527","id-736112",""
"id-55c24017fd23459391ba8775e275f669","AccessRelationship","","","id-736479","id-468924",""
"id-f3f5e81604a1456b889e5b5084445984","AccessRelationship","","","id-718755","id-722923",""
"id-9c9f01a2dca747c984df0761a77012d6","AccessRelationship","","","id-718819","id-736122",""
"id-8e325deeb2944fdd9203d6604ef07a79","AccessRelationship","","","id-736531","id-736081",""
"id-183dd00f6458474887e215d5c1a57c89","AccessRelationship","","","id-718774","id-729682",""
"id-a379c24b2c054f56bcc15ebfcc01eba1","AccessRelationship","","","id-723007","id-475118",""
"id-dfa58e2fd9a44f13b5cd2d83dcab3970","AccessRelationship","","","id-718754","id-469182",""
"id-b109761ea4954a6c80c5b88b06c2fe2a","AccessRelationship","","","id-718761","id-472747",""
"id-82ecdec280604221bfc6351a9efba362","AccessRelationship","","","id-718814","id-736158",""
"id-29ff75bff7ba46e3ade2c6e134b104ae","AccessRelationship","","","id-718789","id-723094",""
"id-223eb16d03a048a38bf5b7ed2b009542","AccessRelationship","","","id-736421","id-736019",""
"id-45d2c8b11a424dfe9b967e98c2f2f7ef","AccessRelationship","","","id-711278","id-729622",""
"id-6b3ce433ea2e4dfe8a8a0ee9a06aa5a7","AccessRelationship","","","id-718767","id-469993",""
"id-d4e8112a917246c0bc689caee9d92159","AccessRelationship","","","id-718756","id-722927",""
"id-39e3314f31bd4fe1ac770eb6c999051d","AccessRelationship","","","id-718757","id-469705",""
"id-18a20651dd4540d398df26fa3dedc4c3","AccessRelationship","","","id-736390","id-736046",""
"id-f1a3e9d4fc7943119aafcb4cfe095434","AccessRelationship","","","id-711342","id-729585",""
"id-4f407ef3044f4320a60c573d2669371c","AccessRelationship","","","id-718704","id-722908",""
"id-e581fe7ab0fb407ca0a4dc8ef64f0719","AccessRelationship","","","id-736549","id-736106",""
"id-584ac61ffe1b478c9292e1fe4f7879ed","AccessRelationship","","","id-736295","id-736098",""
"id-75b4352ff14c4471b82ddddc7ab26cd6","AccessRelationship","","","id-718750","id-472880",""
"id-b8dcf8d046be47208f8cb611b4abd582","AccessRelationship","","","id-736426","id-736029",""
"id-e5ef551bf2ca4e8e8d35d0ba9e4e9e1f","AccessRelationship","","","id-718825","id-736130",""
"id-473cb1dcb0684bcf9d07aa4382c39987","AccessRelationship","","","id-718695","id-470526",""
"id-78046a1ed17640ed84f1d988be53b030","AccessRelationship","","","id-736496","id-736168",""
"id-41a2e69f661343ef978849e5c722455c","AccessRelationship","","","id-718821","id-736118",""
"id-5edd0d14e9ff494fb517e77a701388b1","AccessRelationship","","","id-718780","id-723109",""
"id-f127f6385c684a0ba303b26a7508eb66","AccessRelationship","","","id-736398","id-736037",""
"id-0c2cdac55a244cfcbd24d0b35079dc2e","AccessRelationship","","","id-718726","id-469207",""
"id-ae6e96edd892496db41ab8075d88bc42","AccessRelationship","","","id-736524","id-736104",""
"id-5ffb4ff49e5d44b3bfef22ab9b65592e","AccessRelationship","","","id-736377","id-468932",""
"id-9d171b94780b4904bda26f858a3b01e3","AccessRelationship","","","id-736278","id-736180",""
"id-78f6a2f5c7a24ec4baf5d87a6209ae17","AccessRelationship","","","id-718762","id-470534",""
"id-d31e3c21ed614690b0768d8a8e1f8454","AccessRelationship","","","id-718824","id-736039",""
"id-f6297a2495c64c01b984ce1f8de40d2c","AccessRelationship","","","id-718826","id-736128",""
"id-1cb9ad141b1a4a05a688c66d5a3bf6b7","AccessRelationship","","","id-718710","id-723068",""
"id-353132d0de4a4520a376d74a56683a77","AccessRelationship","","","id-718796","id-723119",""
"id-2e031cf46b894ca6b065d4bbfc39bc1d","AccessRelationship","","","id-718800","id-723128",""
"id-d91a72a09ffb4255845e984971955e82","AccessRelationship","","","id-718818","id-736146",""
"id-01fa792742fe4fb5bd37fc02be5134ca","AccessRelationship","","","id-718766","id-722939",""
"id-6e61750f4f9249e0bbe93bcb7b69503f","AccessRelationship","","","id-711284","id-729634",""
"id-a4a4aa6597a84aafb24dec3f1e989acc","AccessRelationship","","","id-736533","id-736069",""
"id-551c57a280db48fcb570e8d543652e7c","AccessRelationship","","","id-736415","id-736035",""
"id-901888ed3db74dd7be9098a5c1af4398","AccessRelationship","","","id-736320","id-736172",""
"id-b5b32027f95044ff9c845e5fb21386e7","AccessRelationship","","","id-718817","id-736156",""
